Author, Basename, URL
Jeija, minetest-mod-digilines, https://github.com/Jeija/minetest-mod-digilines/
LorenzoVulcan, lulzpack, http://postimg.org/image/an1i0clk1/full/
TenPlus1, mobs, https://github.com/tenplus1/mobs/
RealBadAngel, technic, https://github.com/minetest-technic/technic/
rubenwardy, food, https://github.com/rubenwardy/food/
VanessaE, pipeworks, https://github.com/VanessaE/pipeworks/
Sokomine, cottages, https://github.com/Sokomine/cottages/
VanessaE, unified_inventory, https://github.com/minetest-technic/unified_inventory/
HeroOfTheWinds, mobspawn, https://github.com/HeroOfTheWinds/mobspawn/
VanessaE, moretrees, https://github.com/VanessaE/moretrees/
Echoes91, throwing, https://gitlab.com/echoes91/throwing/
TeTpaAka, quests, https://github.com/TeTpaAka/quests/
Sokomine, travelnet, https://github.com/Sokomine/travelnet/
BlockMen, hunger, https://github.com/BlockMen/hunger/
Chinchow, ethereal, https://github.com/4aiman/ethereal/
Kilarin, compassgps, https://github.com/Kilarin/compassgps/
ShadowNinja, nuke, https://github.com/ShadowNinja/nuke/
paramat, moonrealm, https://github.com/paramat/moonrealm/
Zeg9, inventory_plus, https://github.com/Zeg9/minetest-inventory_plus/
portals, lift, https://github.com/portals94/Minetest-lift-addon/
sapier, monorail, https://github.com/sapier/monorail/
BlockMen, pyramids, https://github.com/BlockMen/pyramids/
kaeza, xban2, https://github.com/kaeza/minetest-xban2/
Joz, railcorridors, https://github.com/UgnilJoZ/RailCorridors/
Mossmanikin, fishing, https://github.com/Mossmanikin/fishing/
BlockMen, bone, https://www.dropbox.com/s/olhvzbqlq2tgtnt/bone-0_3-BlockMen.zip
jp, xdecor, https://github.com/kilbith/xdecor/
Sokomine, replacer, https://github.com/Sokomine/replacer/
Wuzzy, hbhunger, https://repo.or.cz/w/minetest_hbhunger/
Mossmanikin, prehistoric, https://github.com/Mossmanikin/prehistoric/
stu, minetest-3d_armor, https://github.com/stujones11/minetest-3d_armor/
tinoesroho, Animalsmod, http://www.mediafire.com/?isbfh3i9x4m7ia9
VanessaE, homedecor_modpack, https://github.com/VanessaE/homedecor_modpack/
TenPlus1, protector, https://github.com/tenplus1/protector/
Jeija, minetest-mod-mesecons, https://github.com/Jeija/minetest-mod-mesecons/
cornernote, craft_guide, https://github.com/cornernote/minetest-craft_guide/
TenPlus1, simple_skins, https://github.com/tenplus1/simple_skins/
bobomb, automata, https://github.com/bobombolo/automata/
ch98, mudslide, http://adf.ly/bqZ0C
srifqi, banondie, https://github.com/srifqi/banondie/
HeroOfTheWinds, skylands, https://github.com/HeroOfTheWinds/skylands-master/
rubenwardy, vote, https://github.com/rubenwardy/vote/
Don, mymillwork, https://github.com/DonBatman/mymillwork/
HeroOfTheWinds, lockpicks, https://github.com/HeroOfTheWinds/lockpicks/
paramat, canyon, https://github.com/paramat/canyon/
Calinou, moreores, https://github.com/calinou/moreores/
lag01, chat2, https://github.com/AndrejIT/chat2/
VanessaE, plantlife_modpack, https://github.com/VanessaE/plantlife_modpack/
Hybrid Dog, treecapitator, https://github.com/HybridDog/treecapitator/
Pavel_S, helicopter, http://goo.gl/HrG5bP
TenPlus1, teleport_potion, https://github.com/tenplus1/teleport_potion/
stu, meshnode, https://github.com/stujones11/meshnode/
Dan Duncombe, camo_modpack, https://github.com/DanDuncombe/camo_modpack/
kaeza, firearms, https://github.com/kaeza/mt-firearms/
addi, cannons, https://bitbucket.org/kingarthursteam/cannons/
Calinou, maptools, https://github.com/calinou/maptools/
PilzAdam, nether, https://github.com/PilzAdam/nether/
Evergreen, quartz, https://github.com/4Evergreen4/quartz/
Nore, mg, https://github.com/Ekdohibs/mg/
GunshipPenguin, sprint, https://github.com/GunshipPenguin/sprint/
Mossmanikin, memorandum, https://github.com/Mossmanikin/memorandum/
Neuromancer, ambience, https://github.com/Neuromancer56/MinetestAmbience/
dgm5555, mapit, https://github.com/dgm3333/mapit/
Wuzzy, bedrock2, https://repo.or.cz/w/minetest_bedrock2/
paramat, paragenv7, https://github.com/paramat/paragenv7/
Sokomine, apartment, https://github.com/Sokomine/apartment/
technomancy, calandria, https://github.com/technomancy/calandria/
Wuzzy, inventory_icon, https://repo.or.cz/w/minetest_inventory_icon/
cornernote, node_owner, https://github.com/cornernote/minetest-node_owner/
sofar, Crops, https://github.com/sofar/crops
TenPlus1, farming, https://github.com/tenplus1/farming/
desvox, orewood, https://github.com/desvox/orewood/
Casimir, gemalde, https://github.com/CasimirKaPazi/gemalde/
MirceaKitsune, minetest_mods_structures, https://github.com/MirceaKitsune/minetest_mods_structures/
HeroOfTheWinds, caverealms, https://github.com/HeroOfTheWinds/minetest-caverealms/
Jeija, slimes, https://github.com/Jeija/minetest-mod-slimes/
VanessaE, git, https://en.wikipedia.org/wiki/Nixie_tube
paramat, watershed, https://github.com/paramat/watershed/
Menche, external_cmd, https://github.com/Menche/external_cmd/
AgentNagel42, beacon, https://drive.google.com/open?id=0B0hWVTX88TGHRXVJMU02dzl1c2s&authuser=0
Sokomine, mobf_trader, https://github.com/Sokomine/mobf_trader/
GloopMaster, glooptest, https://github.com/GloopMaster/glooptest/
martian, hiking, https://github.com/csonto/hiking/
PilzAdam, mobs, https://github.com/PilzAdam/mobs/
ds-2k, modmenu, https://github.com/bhull2010/minetest-mod-modmenu/
BlockMen, creatures, https://github.com/BlockMen/creatures/
lag01, chat_anticurse, https://github.com/AndrejIT/chat_anticurse/
cd2, flowing_glass, http://wiki.minetest.com/wiki/Installing_Mods
PilzAdam, farming_plus, https://github.com/PilzAdam/farming_plus/
minermoder27, fertiliser, https://github.com/minermoder27/minetest-fertiliser/
Splizard, snow, https://github.com/Splizard/minetest-mod-snow/
Zeg9, protector, https://github.com/Zeg9/minetest-protect/archive/master.zip
jin_xi, painting, https://github.com/obneq/painting/
srifqi, superflat, https://github.com/srifqi/superflat/
paramat, flexrealm, https://github.com/paramat/flexrealm/
GunshipPenguin, serveressentials, https://github.com/gunshippenguin/serveressentials/
Topywo, sea, https://dl.dropboxusercontent.com/u/65428713/sea.0.4.2.zip
Calinou, moreblocks, https://github.com/calinou/moreblocks/
paramat, pathv6alt, https://github.com/paramat/pathv6alt/
MirceaKitsune, minetest_mods_creatures, https://github.com/MirceaKitsune/minetest_mods_creatures/
Krock, boost_cart, https://github.com/SmallJoker/boost_cart/
Doc, birthstones, http://tffs.castraponere.com/files/minetest/birthstones-mod-1.2.zip
minetesting, steel, https://github.com/VanessaE/minetest-steel/
Don, mycorners, https://github.com/DonBatman/mycorners/
wulfsdad, fishing, http://mirkolinux.wordpress.com/2011/12/03/rope-mod-for-minetest/
VanessaE, ilights, https://github.com/VanessaE/ilights/
stu, shooter, https://github.com/stujones11/shooter/
Calinou, bedrock, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/bedrock.zip
Calinou, meze, https://lut.im/tLIpVFgY/GZ4333C6
srifqi, advancedban, https://github.com/srifqi/advancedban/
Wuzzy, playereffects, https://repo.or.cz/w/minetest_playereffects/
Krock, u_skins, https://github.com/SmallJoker/minetest-u_skinsdb/
Wuzzy, mana, https://repo.or.cz/w/minetest_mana/
ShadowNinja, areas, https://github.com/ShadowNinja/areas/
Wuzzy, hudbars, https://repo.or.cz/w/minetest_hudbars/
Sokomine, colormachine, https://github.com/Sokomine/colormachine/
paramat, landup, https://github.com/paramat/landup/
Calinou, carbone_mobs, https://github.com/calinou/carbone_mobs/
red, books_plus, http://www.wtfpl.net/txt/copying/
PilzAdam, carts, https://github.com/PilzAdam/carts/
Jeija, throwing, https://github.com/Jeija/minetest-mod-throwing/
